Step,Value
0,0.8359927535057068
1,0.5032174587249756
2,0.26834049820899963
3,0.19790324568748474
4,0.1747603863477707
5,0.15501238405704498
6,0.1482800841331482
7,0.13623659312725067
8,0.12695063650608063
9,0.12502948939800262
10,0.11062890291213989
11,0.11381852626800537
12,0.11781743168830872
13,0.11301005631685257
14,0.1006254255771637
15,0.08710841834545135
16,0.08475609868764877
17,0.07540442794561386
18,0.07024341821670532
19,0.06324010342359543
20,0.06814143806695938
21,0.055424537509679794
22,0.0501752607524395
23,0.05076336860656738
24,0.04929221794009209
25,0.046781472861766815
26,0.04396400600671768
27,0.0384252704679966
28,0.044717565178871155
29,0.035998404026031494
30,0.03611906245350838
31,0.03287191689014435
32,0.03229289874434471
33,0.030558906495571136
34,0.030657514929771423
35,0.03115908056497574
36,0.02711562253534794
37,0.024877075105905533
38,0.030802229419350624
39,0.026471907272934914
40,0.025709716603159904
41,0.02690734528005123
42,0.024031108245253563
43,0.0213465578854084
44,0.022387415170669556
45,0.03139550983905792
46,0.03173448517918587
47,0.01905156299471855
48,0.029673583805561066
49,0.01857895962893963
50,0.019636955112218857
51,0.01790030673146248
52,0.017479516565799713
53,0.016978707164525986
54,0.020932691171765327
55,0.019616877660155296
56,0.01954001560807228
57,0.01580733433365822
58,0.01606449857354164
59,0.015596030279994011
60,0.019749727100133896
61,0.01546278316527605
62,0.016592252999544144
63,0.014255180023610592
64,0.017361419275403023
65,0.01653243787586689
66,0.013271388597786427
67,0.018074966967105865
68,0.014972332864999771
69,0.017958862707018852
70,0.013787403702735901
71,0.018131405115127563
72,0.017284464091062546
73,0.01389771606773138
74,0.013179724104702473
75,0.013498760759830475
76,0.01282523199915886
77,0.01296584215015173
78,0.012472235597670078
79,0.011650650762021542
80,0.015271738171577454
81,0.013224227353930473
82,0.019312772899866104
83,0.011234758421778679
84,0.011334431357681751
85,0.015463719144463539
86,0.012022480368614197
87,0.020500944927334785
88,0.016477152705192566
89,0.012241129763424397
90,0.01273133885115385
91,0.013917086645960808
92,0.015897512435913086
93,0.011928864754736423
94,0.022463660687208176
95,0.010175008326768875
96,0.02401162125170231
97,0.021447336301207542
98,0.011186218820512295
99,0.010905487462878227
100,0.012475919909775257
101,0.012132341042160988
102,0.0115743987262249
103,0.009768269956111908
104,0.012804782018065453
105,0.01566561870276928
106,0.010866226628422737
107,0.011604207567870617
108,0.01585882529616356
109,0.011813709512352943
110,0.012825550511479378
111,0.010979671031236649
0,0.9014355540275574
1,0.5899292230606079
2,0.4289895296096802
0,1.0879734754562378
1,0.8351014256477356
