Step,Value
0,0.40813979506492615
1,0.7062323093414307
2,0.8575451374053955
3,0.8978467583656311
4,0.9104839563369751
5,0.921310544013977
6,0.9248495101928711
7,0.9314014911651611
8,0.9362155199050903
9,0.9369775652885437
10,0.9448162317276001
11,0.9427920579910278
12,0.9406103491783142
13,0.9431275725364685
14,0.9496316313743591
15,0.9567193984985352
16,0.9578204154968262
17,0.962788999080658
18,0.9654814004898071
19,0.9690699577331543
20,0.9663122892379761
21,0.9729483127593994
22,0.9756888151168823
23,0.975266695022583
24,0.9759750366210938
25,0.9772356748580933
26,0.9785813689231873
27,0.9814375042915344
28,0.9780842661857605
29,0.9825738668441772
30,0.9825162887573242
31,0.9841398000717163
32,0.9844351410865784
33,0.9852752685546875
34,0.9851871132850647
35,0.9849600791931152
36,0.9869809150695801
37,0.9881014823913574
38,0.9850980639457703
39,0.9872437715530396
40,0.9876025319099426
41,0.9870501160621643
42,0.9884668588638306
43,0.9898180365562439
44,0.9893093705177307
45,0.984632134437561
46,0.9844868779182434
47,0.9909728169441223
48,0.9855379462242126
49,0.991198718547821
50,0.9906449317932129
51,0.9915243983268738
52,0.9916881322860718
53,0.9920005202293396
54,0.989935576915741
55,0.9905907511711121
56,0.9906173348426819
57,0.9925439953804016
58,0.9924203157424927
59,0.9926635026931763
60,0.990463137626648
61,0.992693305015564
62,0.9920759201049805
63,0.993291974067688
64,0.9916769862174988
65,0.9920733571052551
66,0.9937540888786316
67,0.9913121461868286
68,0.9929380416870117
69,0.9913961887359619
70,0.9934953451156616
71,0.9912386536598206
72,0.9917341470718384
73,0.9934027194976807
74,0.9937630295753479
75,0.9936069250106812
76,0.9940075874328613
77,0.9938693046569824
78,0.9941129088401794
79,0.9945076704025269
80,0.9927150011062622
81,0.9937084317207336
82,0.9906837344169617
83,0.9947581887245178
84,0.9947332739830017
85,0.9925854802131653
86,0.9943036437034607
87,0.9899889230728149
88,0.9920622110366821
89,0.9941738247871399
90,0.9939537048339844
91,0.9933411478996277
92,0.9923821091651917
93,0.9943596720695496
94,0.989013135433197
95,0.9952234625816345
96,0.9882491827011108
97,0.9895187616348267
98,0.9947047233581543
99,0.9948269128799438
100,0.9940305948257446
101,0.9942203164100647
102,0.9945462346076965
103,0.9954473972320557
104,0.9938466548919678
105,0.9924246072769165
106,0.9948751330375671
107,0.994460940361023
108,0.9923480153083801
109,0.9943702816963196
110,0.993847668170929
111,0.9947746396064758
0,0.32315394282341003
